default;account_check_status;credit_history;savings;present_emp_since;installment_as_income_perc;other_debtors;property;other_installment_plans;housing;credits_this_bank;job;telephone;foreign_worker;sexo;estado_civil;rango_valor_credito;rango_plazos_credito;rango_edad
0;2;3;5;3;2;1;1;1;2;1;3;1;1;0;0;2;1;1
0;2;5;1;1;4;3;1;3;2;2;3;1;1;0;1;2;2;3
1;2;1;5;1;4;1;4;3;3;1;4;1;1;0;1;2;3;5
1;2;1;5;3;2;1;3;3;2;1;3;1;1;0;1;15;4;1
0;4;3;5;4;4;1;2;3;2;1;3;1;1;1;0;4;2;1
0;4;3;1;1;4;1;2;3;2;4;3;1;1;0;1;6;3;3
0;4;3;5;4;2;1;3;1;2;1;3;0;1;1;0;3;1;1
0;2;3;2;3;4;1;1;3;2;1;3;0;1;0;0;2;1;1
1;4;3;5;3;4;1;4;2;3;1;3;1;1;0;1;2;3;2
0;4;3;1;3;4;1;3;3;2;1;3;0;1;1;0;3;3;1
0;4;3;5;3;1;1;2;1;2;1;3;0;1;1;0;9;3;1
0;4;5;1;1;4;1;2;3;1;2;2;1;1;0;1;1;1;3
0;1;5;5;1;3;1;4;1;3;2;4;1;1;0;1;2;1;4
0;2;5;5;2;2;1;1;1;2;2;2;0;1;1;0;6;4;3
1;1;3;1;1;4;1;4;3;2;1;4;1;1;0;1;2;3;2
0;1;5;5;1;4;1;4;3;3;2;4;0;1;0;1;2;1;5
1;1;3;5;4;4;1;3;3;2;1;3;0;1;0;1;4;4;2
0;2;4;5;2;2;1;2;3;2;1;3;0;1;0;1;5;1;4
0;4;1;1;3;2;1;2;3;2;1;2;0;1;0;1;10;5;2
0;2;3;5;4;2;1;2;3;2;1;3;0;1;0;0;4;3;1
1;4;3;1;4;1;1;3;3;2;2;3;1;1;1;0;6;2;3
0;4;3;3;1;4;1;2;2;2;1;3;1;1;0;1;2;2;3
0;4;3;4;3;3;1;2;3;1;1;2;0;1;1;0;2;2;1
0;1;3;5;1;4;3;1;3;2;1;2;1;1;1;0;2;2;4
0;1;3;5;1;3;1;1;3;2;1;2;0;1;0;1;3;1;4
0;4;5;5;3;4;3;1;3;2;2;4;1;1;1;0;2;1;1
0;2;5;5;4;4;1;2;3;2;2;3;0;1;1;0;2;2;1
1;2;3;4;3;1;1;4;3;3;1;3;1;1;0;1;13;3;3
0;1;3;4;2;4;1;3;3;2;1;4;1;1;0;1;3;2;1
1;1;1;5;2;4;1;1;3;2;2;3;0;1;0;1;2;1;1
0;4;5;5;1;4;1;1;3;2;1;3;0;1;0;1;1;1;4
0;1;5;5;1;4;1;1;3;2;1;3;0;1;0;1;2;1;4
1;4;5;1;1;4;1;2;1;2;1;2;0;1;1;0;1;1;2
0;3;5;1;1;4;2;4;3;1;2;3;0;1;0;1;4;2;1
0;2;3;2;1;4;1;1;3;2;1;3;1;1;0;1;2;1;4
1;2;1;5;4;3;1;4;3;1;1;3;1;1;0;1;16;5;4
0;4;5;1;2;4;1;3;3;2;1;3;0;1;1;0;3;1;5
0;2;3;4;3;4;1;3;3;2;1;3;0;1;0;1;3;2;2
0;2;5;5;1;4;1;1;3;2;1;3;0;1;0;1;3;3;2
0;2;4;1;2;3;1;2;1;1;2;4;1;1;0;1;8;2;2
0;4;3;4;1;4;1;1;3;1;1;2;0;1;0;0;2;2;3
0;2;3;5;2;4;1;3;3;1;1;3;0;1;0;1;3;3;1
0;4;4;5;3;3;1;1;3;2;1;3;0;1;1;0;1;1;1
0;2;5;5;2;4;1;3;3;1;1;3;1;1;0;1;2;1;2
0;4;3;1;4;2;1;3;3;1;1;3;1;1;0;0;3;1;1
1;2;5;5;3;2;2;3;3;2;2;4;1;1;0;1;12;2;2
1;4;2;5;1;2;1;4;1;2;2;4;1;1;0;1;7;2;2
0;2;3;5;2;2;1;3;3;2;1;3;0;1;0;1;7;1;2
0;1;3;1;4;1;1;2;3;2;1;3;1;0;1;0;8;2;1
0;2;3;3;1;1;1;1;3;2;1;3;1;1;0;0;2;2;2
0;2;4;4;1;1;1;3;1;2;2;3;0;1;0;0;2;1;2
0;3;3;5;4;4;1;2;3;1;1;3;1;1;1;0;1;2;1
0;2;3;5;2;3;1;1;3;1;1;2;0;1;0;1;7;2;1
1;4;5;5;3;4;1;1;2;2;2;3;1;1;1;0;8;3;1
0;1;3;3;1;3;1;1;3;2;1;3;0;1;0;0;2;1;2
0;4;5;1;1;4;1;1;3;2;1;3;1;1;0;1;4;4;3
1;1;3;1;2;4;1;3;3;2;1;4;1;1;1;0;8;4;1
0;1;5;1;4;2;2;1;3;1;2;3;0;0;1;0;3;1;1
1;1;5;3;3;1;1;3;3;2;2;3;0;1;1;0;5;3;1
0;2;5;3;2;3;1;3;3;2;1;4;1;1;0;0;3;1;2
1;1;3;5;3;3;1;1;3;2;2;3;1;1;1;0;2;2;1
0;4;5;5;1;4;1;3;3;1;2;4;1;1;1;0;4;2;3
0;4;3;5;3;3;1;1;3;1;1;2;0;1;0;1;2;1;1
0;3;5;5;1;4;1;4;3;3;2;3;1;1;0;1;1;1;5
1;2;3;1;4;4;1;1;3;1;1;3;0;1;1;0;2;2;1
0;1;5;5;3;4;1;2;3;2;2;3;0;1;0;1;3;1;1
0;1;3;5;3;4;1;1;3;2;1;2;0;1;0;0;1;1;2
1;2;3;5;3;4;1;3;3;2;1;3;0;1;0;1;1;1;1
0;2;5;5;5;4;1;3;3;2;2;4;1;1;0;1;2;1;2
1;1;5;5;3;3;2;1;3;2;2;3;0;1;1;0;4;1;1
0;2;3;1;2;1;1;3;3;2;1;3;0;1;1;0;9;4;1
1;1;4;5;3;4;1;2;2;2;1;3;1;1;0;1;7;3;1
0;4;3;5;4;2;1;2;1;2;2;2;0;1;0;1;3;2;1
0;4;3;5;3;4;1;4;1;3;2;3;0;1;0;1;2;2;3
0;4;3;4;2;2;1;1;3;2;1;3;1;1;1;0;11;5;1
0;4;5;1;1;4;1;1;3;2;2;3;1;1;1;0;2;1;2
0;4;4;2;3;2;1;3;3;2;2;3;0;1;0;1;9;3;1
1;2;3;3;3;4;1;1;3;2;1;2;0;1;0;1;1;1;5
0;2;5;1;2;4;3;1;1;2;3;3;1;1;0;1;3;2;2
0;3;3;5;3;2;1;3;3;1;1;2;1;1;1;0;2;1;3
0;3;3;2;4;2;1;1;3;2;1;1;0;0;0;0;1;1;1
0;2;3;5;4;4;1;4;3;2;1;4;1;1;1;0;5;3;1
0;1;3;5;3;3;1;3;3;2;1;4;0;1;0;1;4;3;1
1;1;3;5;3;2;1;3;3;2;1;3;0;1;0;1;3;2;1
0;4;5;5;4;4;1;2;3;2;1;3;1;1;1;0;3;2;1
0;2;2;4;2;4;1;3;3;2;1;3;0;1;0;1;4;4;1
0;1;5;5;1;1;1;4;3;2;2;3;1;1;1;0;1;1;2
0;4;5;4;2;4;1;3;3;2;2;3;1;1;1;0;1;1;4
0;1;5;5;3;3;3;2;3;2;2;3;0;1;0;1;6;3;1
0;4;5;2;1;4;1;3;3;2;2;3;0;1;0;1;2;2;3
0;4;3;4;1;2;1;4;1;3;1;3;1;1;0;1;2;1;3
0;4;3;5;3;1;1;2;3;2;1;3;1;0;0;1;2;1;2
0;3;3;5;3;4;1;3;3;2;1;3;0;1;0;1;6;3;1
0;2;5;2;1;2;1;4;3;1;1;3;0;1;1;0;8;2;1
0;2;4;4;2;4;1;3;3;1;1;4;1;1;0;1;7;2;2
1;1;3;5;3;2;1;3;3;1;1;3;0;1;1;0;2;1;1
0;1;5;4;1;3;3;1;3;2;2;3;0;0;0;1;2;1;3
0;1;2;5;1;4;1;3;1;2;1;2;0;1;0;0;1;1;3
0;2;3;4;2;2;1;3;1;2;2;3;1;1;0;1;4;2;2
0;4;5;1;3;1;1;1;3;2;2;2;0;1;0;1;2;1;2
0;4;5;4;1;3;1;1;3;2;1;3;1;1;0;1;3;2;2
0;4;5;5;4;4;1;2;3;2;2;3;0;1;1;0;2;2;1
0;4;3;3;2;4;1;2;3;2;2;3;1;1;0;1;2;2;2
0;2;3;5;5;2;1;4;1;3;1;4;1;1;0;1;8;1;5
0;4;3;3;1;4;1;2;3;2;1;3;0;1;0;1;1;3;2
0;4;3;3;3;1;1;3;3;2;1;3;1;1;0;1;3;1;2
1;1;3;5;5;4;1;3;3;2;1;3;0;1;1;0;2;2;2
0;2;3;2;4;4;1;1;3;2;1;3;0;1;1;0;2;1;1
0;4;3;5;2;2;1;2;3;1;1;3;1;1;1;0;4;2;1
1;2;5;5;1;4;1;1;3;2;2;3;1;1;0;0;2;2;2
1;1;1;5;1;4;1;3;3;1;2;3;0;1;0;1;1;2;2
0;4;3;5;3;4;1;1;3;2;1;3;1;1;1;0;1;1;1
1;2;4;5;5;3;1;2;3;2;1;4;1;1;1;0;3;2;2
0;2;3;5;3;4;3;1;3;2;1;3;0;0;0;1;2;1;2
1;1;4;5;4;2;1;2;3;2;2;3;0;1;0;1;4;2;1
1;4;2;1;5;4;1;1;1;2;1;4;1;1;1;0;8;3;4
0;1;3;5;3;2;1;3;3;2;1;3;0;1;0;0;3;1;3
0;1;5;3;1;4;1;3;3;2;2;3;0;1;0;1;1;1;4
0;4;3;5;2;4;1;3;3;1;2;4;1;1;0;1;2;1;2
0;1;5;5;1;4;1;1;3;2;2;3;0;1;0;1;1;2;5
1;4;4;5;4;1;1;3;3;2;2;3;0;1;0;0;10;3;1
1;2;4;5;3;2;1;1;2;2;2;4;1;1;0;0;5;3;1
1;1;2;1;3;4;1;2;3;2;2;2;0;1;0;1;2;2;2
0;4;5;2;3;4;1;1;3;2;1;3;1;1;0;1;4;2;3
1;2;5;5;1;4;1;3;1;2;1;3;1;1;0;1;1;2;2
0;4;5;5;3;4;1;2;3;2;2;3;0;1;0;1;2;2;2
1;2;2;5;1;2;1;4;1;3;1;4;1;1;1;0;6;1;5
0;2;5;5;5;2;1;3;3;3;3;1;1;1;0;1;2;2;5
1;1;3;4;2;4;1;2;3;2;1;3;0;1;0;0;1;1;1
0;2;1;5;3;1;1;3;1;2;2;3;1;1;1;0;4;2;2
1;4;3;2;3;2;1;2;3;2;3;4;1;1;0;1;5;2;4
1;2;1;4;2;4;1;4;3;3;1;2;0;1;0;1;4;4;2
1;2;3;5;3;4;1;3;3;2;1;3;1;1;0;1;4;3;2
0;4;3;5;2;2;1;1;3;1;1;3;0;1;0;0;3;1;1
1;2;3;4;3;4;3;2;3;1;1;3;0;1;0;1;4;4;1
1;2;5;5;1;2;1;3;3;2;2;4;1;1;1;0;2;1;2
0;4;5;5;3;1;1;3;3;2;2;3;1;1;1;0;2;1;1
1;2;3;4;4;4;1;3;1;1;4;3;0;1;1;0;1;1;1
0;2;3;1;1;4;1;4;1;3;1;3;1;1;0;1;3;2;2
1;2;4;5;1;4;1;4;3;2;1;4;1;1;0;0;5;2;2
0;4;5;3;1;4;1;3;3;2;2;3;1;1;0;1;1;1;4
0;1;3;5;3;4;1;1;3;2;1;2;0;1;0;0;2;1;1
0;4;4;5;2;3;1;3;3;2;2;3;0;1;0;1;6;3;1
1;1;3;5;2;4;1;2;3;1;1;3;0;1;0;0;1;1;1
0;4;5;5;1;4;1;1;3;2;2;2;0;1;0;1;2;1;2
0;1;5;5;1;3;1;4;3;3;3;4;1;1;0;1;11;3;2
0;4;5;5;1;4;1;1;3;2;3;3;1;1;0;1;2;1;3
0;2;5;5;2;4;1;2;3;2;1;3;0;1;0;1;2;1;1
0;1;3;5;3;2;1;3;2;2;1;2;0;1;0;0;7;2;1
0;4;3;2;2;3;1;2;3;2;1;3;0;0;0;1;2;1;4
0;4;5;1;3;1;1;1;3;2;2;3;0;1;0;1;4;1;2
0;4;3;1;1;2;1;1;3;2;1;2;1;1;1;0;4;3;3
1;1;1;5;5;2;1;2;2;2;2;3;1;1;0;1;6;3;3
1;3;4;5;1;4;1;1;3;2;1;4;1;1;0;1;2;3;5
0;4;5;1;1;4;1;3;3;2;1;3;1;1;0;1;4;3;4
0;2;5;1;2;1;1;2;3;2;2;2;0;1;1;0;1;1;2
0;1;1;5;2;3;1;2;1;2;1;3;1;1;0;1;4;2;2
0;3;3;5;3;2;1;1;3;2;1;3;1;1;0;1;4;3;1
0;1;3;5;3;2;1;1;3;1;1;2;0;1;0;0;4;2;1
0;4;3;5;3;2;1;3;3;2;1;3;1;1;1;0;2;1;5
0;2;3;5;4;4;3;1;1;2;1;2;0;1;0;0;1;1;1
0;1;3;1;3;4;1;2;1;1;1;3;1;1;1;0;2;1;1
0;4;3;5;3;4;1;1;1;2;2;3;0;1;0;1;1;1;1
0;4;4;1;3;4;1;1;3;2;2;3;1;1;0;1;3;2;2
0;4;3;5;3;3;1;3;3;2;1;3;1;1;0;1;5;2;1
0;4;1;5;3;4;1;3;3;2;2;3;0;1;0;1;3;3;1
1;2;3;2;2;1;2;4;1;2;2;3;1;1;0;1;11;4;1
1;1;3;5;1;4;1;4;3;3;1;4;1;1;0;1;8;1;4
1;4;3;5;2;4;1;3;3;2;1;3;0;1;0;1;2;1;1
0;1;3;5;4;4;1;4;1;3;1;3;0;1;0;1;4;2;1
1;3;3;5;3;4;1;3;3;2;1;3;0;1;0;1;5;3;1
0;4;3;3;1;2;1;4;3;3;1;2;0;1;0;1;3;1;4
0;4;3;4;2;3;1;4;3;2;1;3;0;1;0;1;3;1;2
0;2;3;5;3;4;3;1;3;2;1;2;0;1;0;0;1;2;1
0;4;5;5;2;2;1;1;3;2;3;2;0;1;0;1;2;1;3
1;1;3;5;5;4;1;3;2;2;1;4;0;1;0;1;2;2;1
1;2;3;1;5;1;1;2;3;2;1;1;1;1;0;1;15;1;1
1;2;3;4;1;4;1;3;1;1;2;2;0;1;0;0;3;2;5
0;4;5;5;3;4;1;2;3;2;2;3;0;1;1;0;2;1;2
0;1;3;5;1;1;3;2;3;2;1;3;0;1;0;1;3;3;2
1;1;3;1;1;4;1;3;1;2;1;3;0;1;1;0;1;2;1
0;4;3;5;2;3;1;2;3;2;1;3;0;1;0;1;2;1;4
1;1;1;5;1;3;1;4;3;3;2;3;0;1;0;1;5;4;1
0;4;5;5;3;3;1;1;3;2;2;3;0;1;1;0;2;1;1
0;4;2;3;3;4;1;1;3;2;1;2;0;1;1;0;4;1;2
0;4;3;5;2;4;1;1;3;2;1;3;1;1;0;1;2;2;1
0;4;5;5;1;4;1;1;3;2;3;3;0;1;0;1;1;1;4
0;4;1;4;3;4;1;4;1;1;1;3;0;0;0;1;2;1;2
0;3;3;5;3;2;1;1;3;2;1;3;0;1;0;1;2;2;1
1;4;3;5;5;3;2;1;3;1;1;3;0;1;1;0;1;2;1
0;1;5;2;2;3;1;1;3;2;2;2;1;1;1;0;1;1;2
0;3;3;5;3;1;1;3;3;2;1;2;0;1;1;0;3;1;3
1;2;3;5;3;4;3;4;1;2;1;3;0;1;1;0;3;3;1
0;4;4;4;3;2;1;2;3;2;2;3;0;1;0;1;5;2;2
0;2;3;1;2;2;1;3;3;2;1;3;1;1;0;1;3;1;1
0;2;4;1;3;1;1;1;3;2;1;2;0;1;0;1;8;5;1
0;4;5;5;3;4;1;1;3;2;2;2;0;1;0;1;3;2;2
1;1;2;5;3;4;1;4;3;3;1;3;0;1;0;0;3;1;1
0;4;3;4;4;1;1;3;3;2;1;3;1;1;1;0;4;2;1
0;4;5;4;5;4;1;1;3;2;3;2;0;1;1;0;2;1;4
0;1;3;5;3;2;1;1;3;2;1;3;0;1;0;1;2;1;1
0;1;3;5;1;4;1;3;3;2;1;3;0;1;1;0;2;2;4
0;1;5;5;1;2;1;4;3;3;3;4;1;1;0;1;6;2;2
0;4;5;5;1;2;1;4;1;3;3;2;0;1;1;0;3;1;4
0;4;5;5;1;3;1;1;3;2;2;2;0;0;0;1;2;1;2
1;2;3;5;1;4;1;3;3;2;1;3;0;1;0;1;1;2;2
0;4;5;1;1;4;1;1;3;2;2;3;0;1;0;1;7;3;2
0;4;3;5;4;4;1;3;2;2;1;3;1;1;1;0;2;2;2
1;1;3;5;1;1;1;2;3;2;1;4;1;0;0;0;9;2;3
0;4;3;1;1;4;1;3;3;2;2;3;0;1;0;1;1;2;1
0;4;3;1;2;4;1;2;3;2;1;3;0;0;0;1;3;2;2
0;4;5;3;2;3;1;3;3;1;1;3;1;1;1;0;2;1;2
0;2;2;1;5;4;2;4;3;3;1;4;1;1;0;1;13;4;2
1;2;3;5;2;4;1;1;3;2;2;3;0;1;0;1;4;4;1
1;1;3;5;4;1;1;4;3;2;1;2;1;1;0;0;12;3;2
0;4;3;5;3;1;1;1;3;2;1;3;0;1;0;1;3;1;2
0;4;5;5;3;2;1;3;3;2;2;3;0;1;1;0;3;2;1
0;1;3;1;1;2;1;2;3;2;1;2;1;1;0;0;2;1;3
1;4;3;5;4;1;1;2;3;2;1;3;0;1;1;0;5;1;2
0;4;3;4;3;4;1;3;3;1;1;4;1;1;0;1;2;2;1
0;4;5;2;1;3;1;4;3;1;2;3;1;1;0;1;4;2;1
0;4;3;5;3;4;1;1;3;2;1;3;0;1;0;1;2;1;3
0;3;2;1;2;4;1;3;1;2;1;2;0;1;0;1;2;2;3
0;4;5;1;1;4;1;2;3;2;1;3;0;1;0;1;2;2;5
0;2;5;4;4;4;1;3;3;2;1;3;1;1;0;0;4;2;2
0;1;3;5;4;1;1;1;3;2;1;2;1;1;1;0;11;4;2
0;1;3;5;2;4;1;2;3;2;1;3;0;1;0;1;5;4;1
0;2;4;4;5;2;1;4;3;3;1;4;1;1;0;1;8;4;2
0;2;3;5;3;4;3;1;3;2;2;3;1;1;1;0;2;1;3
1;1;4;5;4;4;1;1;2;2;1;3;0;1;0;0;2;2;3
0;4;3;5;3;2;1;1;3;2;1;3;1;0;0;0;2;1;1
1;2;3;5;4;1;1;3;3;1;1;4;1;1;0;0;10;3;1
0;1;5;5;1;2;1;4;3;3;2;4;1;1;1;0;7;2;3
0;3;5;5;1;4;1;4;3;3;1;3;0;1;0;1;5;4;4
0;4;5;1;1;4;1;3;1;2;2;4;0;1;0;0;8;4;3
1;2;3;5;4;1;1;3;3;2;1;3;1;1;1;0;10;4;1
0;4;3;1;4;1;1;3;3;1;1;3;0;1;1;0;5;1;1
0;4;3;1;1;4;2;2;3;2;1;2;0;0;0;1;2;1;3
0;4;3;5;3;3;1;1;3;2;1;3;1;1;0;1;3;2;3
0;2;5;2;2;3;1;3;3;2;2;3;1;1;0;1;3;2;2
0;4;3;5;5;1;1;1;3;2;1;1;1;1;1;0;1;1;4
1;2;1;5;3;4;1;3;3;2;1;3;1;1;1;0;4;3;3
1;3;5;1;2;4;1;1;1;2;2;2;0;1;0;1;2;2;2
0;1;5;5;2;4;2;2;3;2;2;3;1;1;0;1;2;1;3
1;4;5;3;3;2;1;4;1;3;1;3;0;1;0;1;11;4;3
0;4;3;2;3;4;1;1;3;2;1;3;0;1;0;0;2;1;2
0;4;3;1;2;2;1;2;2;1;1;2;0;1;1;0;5;3;1
1;1;3;4;4;4;1;4;3;2;1;2;1;1;0;0;1;1;2
1;2;3;5;3;3;1;1;3;2;1;3;0;1;1;0;2;1;1
0;2;3;5;3;4;1;1;3;1;1;2;0;1;0;0;1;1;1
0;2;3;1;5;3;1;4;1;3;1;1;1;1;0;1;6;4;2
0;4;3;4;3;4;1;3;2;2;1;3;0;1;0;1;6;2;1
0;3;3;5;4;2;1;3;3;2;1;3;0;1;1;0;4;2;1
1;2;3;5;2;2;1;3;1;2;1;2;0;1;0;0;1;1;1
0;3;3;1;4;1;1;1;3;2;1;2;0;0;0;1;2;1;1
1;1;2;5;1;4;1;3;1;2;1;3;0;1;0;1;3;3;2
0;1;3;5;3;2;3;2;3;2;1;2;0;1;0;1;1;1;2
0;2;3;1;3;1;1;2;3;2;1;2;1;1;1;0;5;2;3
0;4;5;5;3;4;1;3;3;2;2;3;0;1;0;1;1;1;2
0;1;4;5;1;1;1;2;3;2;2;2;0;1;1;0;4;2;1
1;2;5;5;5;4;1;3;3;2;2;4;0;1;0;0;5;3;1
1;1;3;5;4;4;1;2;3;2;1;3;0;1;0;0;2;2;2
0;1;3;5;2;2;1;4;3;3;1;4;1;1;0;1;3;2;2
0;1;3;2;3;4;1;3;3;2;1;3;0;1;0;1;3;2;1
0;4;5;5;3;4;1;1;3;2;2;3;0;1;1;0;2;2;2
0;1;5;5;2;1;1;1;3;2;2;2;0;0;0;1;4;1;2
0;4;5;1;1;2;1;2;3;1;1;3;1;1;0;1;6;1;3
0;4;3;2;2;4;1;3;3;2;1;3;1;1;1;0;2;2;2
0;3;3;5;1;4;1;3;3;2;1;3;0;1;0;1;5;3;2
0;2;3;5;1;4;1;3;3;2;1;3;0;1;0;1;2;1;1
0;1;5;5;5;2;1;4;3;3;2;4;1;1;0;1;7;2;5
1;4;5;4;3;4;1;1;3;2;2;3;0;1;1;0;2;2;1
1;2;3;4;4;4;1;2;3;2;1;4;0;1;1;0;8;5;1
1;4;5;4;3;2;1;3;1;1;2;2;0;1;1;0;12;4;1
1;1;1;5;1;3;1;4;1;1;2;3;0;1;0;1;5;2;1
1;1;5;5;3;1;1;1;3;1;1;4;1;1;0;0;4;1;3
0;2;3;5;4;2;3;2;3;2;1;2;0;1;1;0;3;2;1
1;1;3;1;3;4;1;3;3;1;1;3;0;1;1;0;2;2;1
0;1;3;5;3;4;1;2;3;2;1;3;0;1;0;1;5;2;1
0;2;3;5;3;4;1;3;3;2;1;2;0;1;0;0;2;1;2
0;2;5;5;4;2;1;4;3;3;2;3;1;1;1;0;6;2;1
0;1;3;5;2;1;1;3;3;1;1;2;0;1;1;0;4;2;1
0;2;3;3;4;1;1;1;3;1;1;3;0;1;0;0;4;2;1
0;2;3;5;1;1;2;1;1;2;1;4;1;1;0;1;5;2;2
0;3;3;5;4;1;3;2;3;2;1;2;0;1;0;1;4;1;2
0;4;5;5;3;4;1;3;3;2;1;2;0;1;1;0;2;2;3
0;2;5;5;4;4;3;1;3;2;2;3;0;1;0;1;1;2;1
0;2;3;3;5;1;1;4;3;1;1;1;0;1;1;0;4;2;1
0;4;4;4;3;1;1;1;3;2;2;2;0;1;0;1;2;1;2
1;2;5;2;1;4;1;4;3;3;2;3;0;1;0;1;2;1;2
0;4;3;5;4;1;1;1;3;1;1;3;1;1;1;0;2;1;1
1;2;3;5;3;1;1;3;3;2;1;3;0;0;1;0;1;1;1
0;4;5;1;5;2;1;4;3;2;1;4;1;1;0;1;4;2;2
1;1;1;5;3;4;1;2;3;1;2;3;1;1;0;1;7;1;1
0;4;3;3;1;4;1;4;3;3;1;3;1;1;0;1;1;1;3
1;2;3;5;4;4;1;1;2;2;1;2;0;1;0;1;2;2;1
0;4;5;1;1;1;2;1;3;2;1;3;1;1;0;1;3;1;3
1;4;4;5;3;4;1;3;3;2;2;4;1;1;0;1;5;3;1
0;4;3;5;3;4;1;1;3;2;1;3;0;1;0;0;1;1;1
1;1;3;5;2;4;1;1;3;1;1;3;0;1;1;0;3;3;1
0;2;3;1;3;4;1;4;3;3;1;3;0;1;0;1;2;2;5
0;3;3;1;1;2;1;3;3;2;1;4;0;1;0;1;4;1;2
